"","MLocID","Disturb.score","BPJ_final","Ref2020_FINAL","Lat_DD","Long_DD","StationDes","EcoRegion3"
"129","VM-TR-1295",15.6666666666667,"Score","NO",43.255726,-117.166372,"SOUTH FORK CARTER CREEK",80
"130","VM-TR-1338",12,"N","NO",44.132075,-117.726623,"REDS CREEK",11
"131","VM-TR-1338",12,"N","NO",44.132075,-117.726623,"REDS CREEK",11
"132","XN-SS-4097",1,"Score","YES",42.63559,-116.840633,"XN-SS-4097: Noon Creek",80
"133","XN-SS-4101",13,"N","NO",42.8234,-116.9833,"Cattle Creek",80
"134","XN-SS-4114",5.33333333333333,"Score","YES",42.548226,-118.607912,"XN-SS-4114: Wildhorse Creek",80
"135","XN-SS-4116",5,"Score","YES",42.151302,-118.223036,"WILLOW CREEK",80
"136","XN-SS-4120",12,"N","NO",41.590155,-118.787699,"XN-SS-4120: Corral Creek",80
"137","XN-SS-4120",12,"N","NO",41.590155,-118.787699,"XN-SS-4120: Corral Creek",80
"138","XN-SS-4136",14,"Score","YES",42.149455,-118.330753,"XN-SS-4136: Big Trout Creek",80
"139","XN-SS-4145",0,"Score","YES",42.47981,-116.92402,"XN-SS-4145: Scott Creek",80
"140","XN-SS-4146",4,"Score","YES",42.960912,-118.439796,"XN-SS-4146: Coyote Creek",80
