"","TAXON_CODE","Taxon","TAXON_CODE_Historical","Taxon_Historical","TSN","OTU_RIV05_Nov05","OTU_Stress05","OTU_BCG_WV-PL","Code_USU","OTU2N_USU","Comments","CommonName","Kingdom","Phylum","Class","SubClass","Order","SubOrder","Super Family","Family","SubFamily","Tribe","Genus","SubGenus","SpeciesGroup","SpeciesComplex","Species","SubSpecies","AKA","BBI","FFG","Voltine","SedimentTolerant","Tolerant","MTI","Cold","ORIGIN","TOL","VBI","REPRO GUILD","ADULT FW HABITAT GUILD","TEMPERATURE PREFERENCE","ADULT FRESHWATER TROPHIC GUILD","tax_uid","txrnk_name","tax_last_change_date","tax_storet_id","tax_srs_id","tax_description"
"11","OLI100","Lumbriculidae",NA,NA,68440,"Oligochaeta","Oligochaeta","Lumbriculidae",21,"Other_Oligochaeta",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Lumbriculida",NA,NA,"Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"CG","UV","T","U",1,"U",NA,NA,NA,NA,NA,NA,NA,26366,"Family",2016-03-24 01:12:38,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68440"
"12","OLI410","Haplotaxis",NA,NA,68505,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Haplotaxidae",NA,NA,"Haplotaxis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25622,"Genus",2017-04-04 09:52:57,"NULL","NULL","(Hoffmeister 1843)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68505"
"13","OLI310","Mesenchytraeus",NA,NA,68544,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Enchytraeidae",NA,NA,"Mesenchytraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36720,"Genus",2017-04-04 09:53:16,"NULL","NULL","(Eisen 1878)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68544"
"14","OLI230","Spirosperma",NA,NA,68780,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Naididae","Tubificinae",NA,"Spirosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26015,"Genus",2017-04-04 09:53:55,"NULL","NULL","(Eisen 1879)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68780"
"15","OLI210","Dero",NA,NA,68898,"Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Tubificida",NA,NA,"Naididae","Naidinae",NA,"Dero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25636,"Genus",2017-04-04 09:52:41,"NULL","NULL","(Okem 1815)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68898"
"16","BRA000","Branchiobdellida",NA,NA,69168,"666","666","Branchiobdellida",5,"Branchiobdellida",NA,NA,"Animalia","Annelida","Clitellata","Tubificata","Branchiobdellida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"PA","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,25616,"Order",2016-03-24 01:12:43,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69168"
"17","HIR301","Piscicola",NA,NA,69304,"Hirudinea","Hirudinea","PISCICOLA",1629,"Piscicolidae",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Rhynchobdellida",NA,"Piscicolidae","Piscicolinae",NA,"Piscicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,26363,"Genus",2017-04-04 09:53:36,"NULL","NULL","(de Blainville 1818)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69304"
"18","HIR105","Glossiphoniidae",NA,NA,69357,"Hirudinea","Hirudinea","Glossiphoniidae",15,"Glossiphoniidae",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Rhynchobdellida",NA,"Glossiphoniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,26333,"Family",2017-04-04 09:52:54,"NULL","NULL","(Vaillant 1890)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69357"
"19","HIR120","Placobdella","New Code; 10/7/16; MBS",NA,69363,"Hirudinea","Hirudinea","Glossiphoniidae",2054,"Glossiphoniidae","New genus; 10/7/16; MBS",NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Rhynchobdellida",NA,"Glossiphoniidae","Glossiphoniinae",NA,"Placobdella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,26351,"Genus",2017-04-04 09:53:37,"NULL","NULL","(Blanchard 1893)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69363"
"20","HIR130","Theromyzon","New Code; 10/7/16; MBS",NA,69375,"Hirudinea","Hirudinea","Glossiphoniidae",2050,"Glossiphoniidae","New genus; 10/7/16; MBS",NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Rhynchobdellida",NA,"Glossiphoniidae","Theromyzinae",NA,"Theromyzon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,24261,"Genus",2017-04-04 09:54:01,"NULL","NULL","(Philippi 1867)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69375"
"21","HIR110","Helobdella",NA,NA,69396,"Hirudinea","Hirudinea","Helobdella",18,"Glossiphoniidae",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Rhynchobdellida",NA,"Glossiphoniidae","Haementeriinae",NA,"Helobdella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,26343,"Genus",2017-04-04 09:52:58,"NULL","NULL","(Blanchard 1896)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69396"
"22","HIR200","Erpobdellidae",NA,NA,69438,"Hirudinea","Hirudinea","Erpobdella",12,"Erpobdellidae",NA,NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Arhynchobdellida",NA,"Erpobdellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,26025,"Family",2017-04-04 09:52:48,"NULL","NULL","(Blanchard 1894)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69438"
"23","HIR210","Erpobdella","New Code; 2/12/15; mbs",NA,69444,"Hirudinea","Hirudinea","Erpobdella",681,"Erpobdellidae","New Taxon from Rhithron 2/12/15 mbs",NA,"Animalia","Annelida","Clitellata","Lumbriculata","Hirudinida","Arhynchobdellida",NA,"Erpobdellidae","Erpobdellinae",NA,"Erpobdella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,26323,"Genus",2017-04-04 09:52:48,"NULL","NULL","(de Blainville 1818)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69444"
"24","GAS000","Gastropoda",NA,NA,69459,"666","666","Gastropoda",596,"666",NA,NA,"Animalia","Mollusca","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"SC","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,25782,"Class",2017-04-04 09:52:53,"NULL","NULL","(Cuvier 1797)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69459"
"25","GAS700","Valvatidae",NA,NA,70345,"666","666","Valvata",1513,"Valvata",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Heterostropha",NA,NA,"Valvatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"SC","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,26522,"Family",2016-03-24 01:12:33,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70345"
"26","GAS710","Valvata",NA,NA,70346,"666","Valvata","Valvata",616,"Valvata",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Heterostropha",NA,NA,"Valvatidae",NA,NA,"Valvata",NA,NA,NA,NA,NA,NA,8,"SC","UV","U","U",1,"U",NA,NA,NA,NA,NA,NA,NA,26523,"Genus",2017-04-04 09:54:05,"NULL","NULL","(O F Muller 1774)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70346"
"27","GAS711","Valvata humeralis",NA,NA,70358,"666","Valvata","Valvata",1900,"Valvata",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Heterostropha",NA,NA,"Valvatidae",NA,NA,"Valvata",NA,NA,NA,"humeralis",NA,NA,8,"SC","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,24526,"Species",2017-04-04 09:54:05,"NULL","NULL","(Say 1829)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70358"
"28","GAS200","Hydrobiidae",NA,NA,70493,"Hydrobiidae","666","Rissooidea",633,"Other_Hydrobiidae","Updated 'Rissooidea' in Super Family column, per Rhithron; 2/13/15; mbs",NA,"Animalia","Mollusca","Gastropoda",NA,"Littorinimorpha",NA,"Truncatelloidea","Hydrobiidae","Nymphophilinae",NA,NA,NA,NA,NA,NA,NA,NA,5,"SC","UV","U","U",666,"U",NA,NA,NA,NA,NA,NA,NA,26192,"Family",2017-04-04 09:53:02,"NULL","NULL","(Simpson 1865)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70493"
"29","GAS240","Pyrgulopsis",NA,NA,70658,"Hydrobiidae","666","Rissooidea",602,"Other_Hydrobiidae","Updated 'Rissooidea' in Super Family column, per Rhithron; 2/13/15; mbs",NA,"Animalia","Mollusca","Gastropoda",NA,"Littorinimorpha",NA,"Truncatelloidea","Hydrobiidae",NA,NA,"Pyrgulopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,23521,"Genus",2017-04-04 09:53:44,"NULL","NULL","(Call and Pilsbry 1886)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70658"
"30","GAS210","Fluminicola",NA,NA,70778,"Hydrobiidae","Fluminicola","Fluminicola",634,"Other_Hydrobiidae","Updated 'Rissooidea' in Super Family column, per Rhithron; 2/13/15; mbs",NA,"Animalia","Mollusca","Gastropoda",NA,"Littorinimorpha",NA,"Truncatelloidea","Lithoglyphidae",NA,NA,"Fluminicola",NA,NA,NA,NA,NA,NA,5,"SC","UV","U","T",666,"U",NA,NA,NA,NA,NA,NA,NA,26164,"Genus",2017-04-04 09:52:51,"NULL","NULL","(Stimpson 1865)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70778"
"31","GAS610","Juga",NA,NA,71570,"Juga","Juga","Juga",636,"Juga",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"(Unassigned)Caenogastropoda",NA,"Cerithioidea","Semisulcospiridae",NA,NA,"Juga",NA,NA,NA,NA,NA,NA,7,"SC","SV","T","T",666,"U",NA,NA,NA,NA,NA,NA,NA,26214,"Genus",2017-04-04 09:53:05,"NULL","NULL","(H Adams and A Adams 1854)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=71570"
"32","GAS350","Lanx",NA,NA,76477,"Lymnaeidae","Lymnaeidae","Lymnaeidae",756,"Lanx",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Lymnaeidae","Lancinae",NA,"Lanx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,27775,"Genus",2017-04-04 09:53:09,"NULL","NULL","(Clessin 1882)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76477"
"33","GAS300","Lymnaeidae",NA,NA,76483,"Lymnaeidae","Lymnaeidae","Lymnaeidae",604,"Other_Lymnaeidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Lymnaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"SC","UV","T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25790,"Family",2016-03-24 01:12:36,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76483"
"34","GAS330","Lymnaea",NA,NA,76484,"Lymnaeidae","Lymnaeidae","Lymnaeidae",927,"Lymnaea",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Lymnaeidae","Lymnaeinae",NA,"Lymnaea",NA,NA,NA,NA,NA,NA,6,"SC","SV","T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25796,"Genus",2017-04-04 09:53:13,"NULL","NULL","(Lamarck 1801)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76484"
"35","GAS341","Radix auricularia",NA,NA,76526,"Lymnaeidae","Lymnaeidae","Radix auricularia",1773,"Radix",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Lymnaeidae","Lymnaeinae",NA,"Radix",NA,NA,NA,"auricularia",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,27779,"Species",2017-04-04 09:53:44,"NULL","NULL","(Linnaeus 1758)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76526"
"36","GAS320","Stagnicola",NA,NA,76534,"Lymnaeidae","Lymnaeidae","Stagnicola",608,"Other_Lymnaeidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Lymnaeidae","Lymnaeinae",NA,"Stagnicola",NA,NA,NA,NA,NA,NA,6,"SC",NA,"T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25800,"Genus",2017-04-04 09:53:55,"NULL","NULL","(Leach 1830)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76534"
"37","GAS110","Ferrissia",NA,NA,76569,"Ferrissia","Ferrissia","Ferrissia",599,"Ancylidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae","Ancylinae",NA,"Ferrissia",NA,NA,NA,NA,NA,NA,6,"SC","UV","T","T",1,"U",NA,NA,NA,NA,NA,NA,NA,25785,"Genus",2017-04-04 09:52:51,"NULL","NULL","(Walker 1903)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76569"
"38","GAS500","Planorbidae",NA,NA,76591,"Planorbidae","Planorbidae","Planorbidae",628,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"SC","UV","T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25805,"Family",2016-03-24 01:12:35,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76591"
"39","GAS510","Gyraulus",NA,NA,76592,"Planorbidae","Planorbidae","Gyraulus",629,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,"Gyraulus",NA,NA,NA,NA,NA,NA,8,"SC","UV","T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25807,"Genus",2017-04-04 09:52:56,"NULL","NULL","(Agassiz 1837)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76592"
"40","GAS550","Helisoma",NA,NA,76599,"Planorbidae","Planorbidae","Helisoma",611,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,"Helisoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,25809,"Genus",2017-04-04 09:52:58,"NULL","NULL","(Swainson 1840)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76599"
"41","GAS530","Promenetus",NA,NA,76621,"Planorbidae","Planorbidae","Promenetus",630,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,"Promenetus",NA,NA,NA,NA,NA,NA,6,"CG","SV","T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25819,"Genus",2017-04-04 09:53:41,"NULL","NULL","(F C Baker 1935)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76621"
"42","GAS531","Promenetus umbilicatellus",NA,NA,76625,"Planorbidae","Planorbidae","Planorbidae",1796,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,"Promenetus",NA,NA,NA,"umbilicatellus",NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,25820,"Species",2017-04-04 09:53:41,"NULL","NULL","(Cockerell 1887)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76625"
"43","GAS520","Planorbella",NA,NA,76654,"Planorbidae","Planorbidae","Planorbella",905,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,"Planorbella",NA,NA,NA,NA,NA,NA,7,"SC",NA,"T","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25815,"Genus",2017-04-04 09:53:37,"NULL","NULL","(Haldeman 1842)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76654"
"44","GAS540","Vorticifex",NA,NA,76673,"Planorbidae","Planorbidae","Vorticifex",620,"Planorbidae",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Planorbidae",NA,NA,"Vorticifex",NA,NA,NA,NA,NA,NA,6,"SC","UV","T","T",666,"U",NA,NA,NA,NA,NA,NA,NA,27792,"Genus",2017-04-04 09:54:06,"NULL","NULL","(Meek 1870)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76673"
"45","GAS400","Physidae",NA,NA,76676,"Physa","Physa","Gastropoda",609,"Physa_Physella",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Physidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"SC","SV","U","T",3,"U",NA,NA,NA,NA,NA,NA,NA,25801,"Family",2016-03-24 01:12:43,"NULL","NULL","http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76676"
"46","GAS420","Physa",NA,NA,76677,"Physa","Physa","Physella",610,"Physa_Physella",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Physidae","Physinae",NA,"Physa",NA,NA,NA,NA,NA,NA,8,"SC","SV","U","T",4,"U",NA,NA,NA,NA,NA,NA,NA,25802,"Genus",2017-04-04 09:53:36,"NULL","NULL","(Draparnaud 1801)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76677"
"47","GAS410","Physella",NA,NA,76698,"Physa","Physa","Physella",627,"Physa_Physella",NA,NA,"Animalia","Mollusca","Gastropoda",NA,"Basommatophora",NA,NA,"Physidae","Physinae",NA,"Physella",NA,NA,NA,NA,NA,NA,8,"CG","UV","T","T",4,"U",NA,NA,NA,NA,NA,NA,NA,25803,"Genus",2017-04-04 09:53:36,"NULL","NULL","(Haldeman 1842)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76698"
"48","PEL300","Unionidae",NA,NA,79913,"Unionidae","666","Unionoida",640,"Unionidae",NA,NA,"Animalia","Mollusca","Bivalvia","Palaeoheterodonta","Unionoida",NA,"Unionoidea","Unionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"CF",NA,"U","S",666,"U",NA,NA,NA,NA,NA,NA,NA,25378,"Family",2017-04-04 09:54:05,"NULL","NULL","(Fleming 1828)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=79913"
"49","PEL330","Anodonta",NA,NA,79930,"Unionidae","666","Anodonta",641,"Unionidae",NA,NA,"Animalia","Mollusca","Bivalvia","Palaeoheterodonta","Unionoida",NA,"Unionoidea","Unionidae","Unioninae",NA,"Anodonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,25381,"Genus",2017-04-04 09:52:12,"NULL","NULL","(Lamarck 1799)~http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=79930"
